date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-07-22,3112338,1,10,1,4,0,0,1,1,1,1,1,38,0.0,0
2021-07-07,3031457,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-31,3254251,2,21,3,8,0,0,1,2,1,1,1,6,0.0,0
2021-07-28,3232335,2,16,2,7,0,0,1,2,1,1,1,3,0.0,0
2021-07-19,3152389,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-31,2726642,1,4,2,2,0,1,1,1,1,1,1,7,0.0,0
2021-07-12,3080877,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-16,2840121,1,11,2,4,0,0,1,1,1,1,1,5,0.0,0
2021-05-10,2613949,1,3,1,2,0,0,1,1,1,1,1,6,0.0,0
2021-07-06,3021582,1,36,1,8,0,0,1,1,1,1,1,2,0.0,0
2021-06-23,2893375,1,6,1,3,0,0,1,1,1,1,1,1,0.0,0
2021-07-03,2922496,1,6,1,3,0,0,1,1,1,1,1,0,-1.0,0
2021-07-26,2644972,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-04,1626223,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-20,3162927,1,11,2,4,0,1,1,1,1,1,1,2,0.0,0
2021-07-21,3169312,2,20,2,8,0,0,1,1,1,1,1,3,0.0,0
2021-07-24,3193838,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-09,2790973,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-07-30,3234648,1,11,2,4,1,0,1,1,1,1,1,5,0.0,0
2021-07-05,3002579,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-25,2918913,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-20,2871066,2,20,2,8,0,0,1,2,1,1,1,17,0.0,0
2021-05-19,2656784,1,3,1,2,0,0,1,1,1,1,1,1,0.0,0
2021-06-08,2781744,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-14,3097163,1,11,2,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-07,3023571,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-19,2865794,2,14,3,6,0,1,1,1,1,1,1,3,0.0,0
2021-06-11,2806898,1,11,2,4,0,1,1,1,1,1,1,1,0.0,0
2021-06-11,2804086,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-06,2756892,3,21,3,9,0,0,2,3,1,1,1,3,0.0,0
2021-06-03,2733771,1,11,2,4,0,1,1,1,1,1,1,5,0.0,0
2021-07-24,3194441,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-31,2610073,1,3,1,2,0,0,1,1,1,1,1,15,0.0,0
2021-06-11,2802782,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-20,3157242,3,12,3,6,0,0,1,3,1,1,1,5,0.0,0
2021-07-06,2830895,2,20,2,8,0,0,1,1,1,1,1,9,0.0,0
2021-06-12,2809830,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-19,2865217,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-05-18,2650895,2,12,3,5,0,1,1,1,2,1,1,3,0.0,0
2021-07-27,3224820,2,9,2,5,0,0,1,2,1,1,1,2,0.0,0
2021-07-16,3118321,1,4,1,2,0,0,1,1,1,1,1,2,0.0,0
2021-05-03,2582869,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-05-10,2617093,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
