date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-06-06,2759593,1,12,3,4,1,1,1,1,1,1,1,2,999.0,1
2021-05-03,2580202,1,12,3,4,1,1,1,1,1,1,1,3,899.0,1
2021-07-01,2965049,1,784,5,39,1,3,1,1,1,1,1,3,999.0,1
2021-07-23,3181645,6,51,12,19,2,2,2,2,1,1,1,14,2997.0,1
2021-07-18,382799,3,9,6,3,1,4,1,1,2,1,1,6,1748.0,1
2021-05-23,2673743,1,6,1,3,0,0,1,1,1,1,1,6,449.0,1
2021-06-28,994133,7,51,12,19,2,0,1,1,1,2,1,19,1998.0,1
2021-07-18,3134409,2,13,4,4,2,1,1,2,1,2,1,2,999.0,1
2021-05-09,55192,1,1,1,0,1,0,1,1,1,1,1,2,520.0,1
2021-07-30,885762,4,32,5,13,1,0,2,3,1,1,1,18,399.0,1
2021-05-20,2660358,1,81,4,12,1,2,1,1,1,1,1,2,999.0,1
2021-06-16,1430109,3,27,7,10,1,2,1,1,1,2,1,7,1898.0,1
2021-05-15,42801,1,3,3,1,1,1,1,1,1,1,1,4,899.0,1
2021-07-26,74575,1,5,3,2,1,1,1,1,1,1,1,11,3098.0,1
2021-07-07,2935949,1,10,1,4,0,0,1,1,1,1,1,5,999.0,1
2021-07-31,3234891,1,1,1,0,1,0,1,1,1,1,1,5,2298.0,1
2021-07-14,3037459,2,14,4,4,3,0,1,2,1,2,1,4,999.0,1
2021-06-20,2873949,1,13,3,4,1,0,1,1,1,1,1,2,999.0,1
2021-06-11,2807417,1,533,5,32,1,3,1,1,1,1,1,4,999.0,1
2021-06-06,2762340,1,8,3,3,1,1,1,1,1,1,1,4,2498.0,1
2021-05-30,2707957,1,10,1,4,0,0,1,1,1,1,1,13,1998.0,1
2021-07-27,3221527,2,13,4,4,1,2,1,1,1,1,1,4,899.0,1
2021-06-07,744532,2,14,5,4,2,2,1,1,1,1,1,5,1998.0,1
2021-05-10,2617527,2,24,5,8,1,3,2,2,1,1,1,8,899.0,1
2021-06-28,2940834,1,12,3,4,1,1,1,1,1,1,1,2,999.0,1
2021-05-20,2639845,2,15,6,5,1,3,1,1,1,1,1,5,1798.0,1
2021-05-07,2603167,1,12,3,4,1,1,1,1,1,1,1,16,2398.0,1
2021-06-06,2641570,1,139,4,16,1,2,1,1,1,1,1,6,3497.0,1
2021-05-17,2645323,1,1,1,0,1,0,1,1,1,1,1,5,2897.0,1
2021-06-28,2944363,1,13,4,4,1,1,1,1,1,1,1,2,999.0,1
2021-07-29,3158156,1,6,1,1,0,0,1,1,1,1,1,12,5994.0,1
2021-07-14,2781190,1,1,1,0,1,0,1,1,1,1,1,6,4519.0,1
2021-07-15,2979992,2,22,4,8,1,1,1,1,1,1,1,5,1998.0,1
